,,0
column_59,column_1237,0.8354225900470069
column_68,column_1020,0.8339555909704325
column_974,column_1089,0.8329083439580677
column_453,column_1253,0.8324811816503338
column_1097,column_1449,0.8316476745409729
column_225,column_1295,0.8313418648400183
column_10,column_1061,0.830950383186798
column_1081,column_1124,0.8306273770172738
column_75,column_1032,0.8303017052005772
column_1048,column_1059,0.8302594773724123
column_302,column_1468,0.8300273979386833
column_71,column_1393,0.8282728946880717
column_193,column_1241,0.8277952217344223
column_341,column_1190,0.8265049208320411
column_10,column_961,0.8261258621074797
column_64,column_158,0.8261117522899087
column_1204,column_1377,0.8244889540623164
column_1154,column_1345,0.8241879910393067
column_68,column_1032,0.821778820673499
column_174,column_1124,0.8214433551049211
column_1076,column_1340,0.8188907481762513
column_1155,column_1208,0.8185574917716656
column_75,column_1020,0.8180196726062818
column_92,column_820,0.8177403353782289
column_497,column_929,0.8163233558104848
column_355,column_429,0.8161497996078039
column_969,column_1144,0.8158565145016463
column_623,column_745,0.8156271348490248
column_322,column_436,0.8143155649705478
column_1059,column_1109,0.8130616246758586
column_1047,column_1340,0.8128354620181693
column_1048,column_1208,0.8124269009430884
column_65,column_430,0.8114628531268202
column_549,column_1241,0.8112441455849458
column_133,column_1124,0.808145391499317
column_133,column_794,0.8076958163088852
column_119,column_282,0.8070523579711942
column_1059,column_1395,0.8067794416162961
column_984,column_1356,0.8061935645432222
column_1441,column_1510,0.8060310427633812
column_97,column_1181,0.805022067125647
column_33,column_971,0.8048272253800304
column_969,column_1154,0.8047375442386284
column_194,column_1047,0.8033712412313494
column_338,column_1293,0.8032173952985091
column_1090,column_1109,0.8031469415258428
column_148,column_501,0.8023317976523964
column_66,column_1295,0.8009303101407311
column_114,column_1117,0.8000694117687626
column_242,column_1190,0.7998397717536853
column_1196,column_1352,0.7995818305082538
column_168,column_1255,0.7992009302607662
column_794,column_1124,0.7988655415067597
column_1030,column_1234,0.7970454097988302
column_1090,column_1395,0.796956937590918
column_436,column_1294,0.7963621494010392
column_1109,column_1208,0.7940492346073125
column_133,column_174,0.7939496995125859
